SZ000012	SZ200012
SZ000016	SZ200016
SZ000011	SZ200011
SZ000017	SZ200017
SZ000020	SZ200020
SZ000018	SZ200018
SZ000019	SZ200019
SZ000022	SZ200022
SZ000026	SZ200026
SZ000024	SZ200024
SZ000025	SZ200025
SZ000028	SZ200028
SZ000030	SZ200030
SZ000029	SZ200029
SZ000045	SZ200045
SZ000037	SZ200037
SZ000539	SZ200539
SZ000505	SZ200505
SZ000541	SZ200541
SZ000581	SZ200581
SZ000550	SZ200550
SZ000056	SZ200056
SZ000055	SZ200055
SZ000596	SZ200596
SZ000413	SZ200413
SZ000418	SZ200418
SZ000058	SZ200058
SZ000429	SZ200429
SZ000521	SZ200521
SZ000570	SZ200570
SZ000613	SZ200613
SZ000625	SZ200625
SZ000553	SZ200553
SZ000488	SZ200488
SZ000725	SZ200725
SZ000761	SZ200761
SZ000726	SZ200726
SZ000869	SZ200869
SZ000530	SZ200530
SH600602	SH900901
SH600604	SH900902
SH600611	SH900903
SH600613	SH900904
SH600612	SH900905
SH600610	SH900906
SH600614	SH900907
SH600618	SH900908
SH600623	SH900909
SH600619	SH900910
SH600639	SH900911
SH600648	SH900912
SH600617	SH900913
SH600650	SH900914
SH600818	SH900915
SH600679	SH900916
SH600851	SH900917
SH600819	SH900918
SH600695	SH900919
SH600841	SH900920
SH600844	SH900921
SH600689	SH900922
SH600827	SH900923
SH600843	SH900924
SH600835	SH900925
SH600845	SH900926
SH600822	SH900927
SH600848	SH900928
SH600680	SH900930
SH600663	SH900932
SH600801	SH900933
SH600754	SH900934
SH600295	SH900936
SH600726	SH900937
SH600751	SH900938
SH600094	SH900940
SH600776	SH900941
SH600054	SH900942
SH600272	SH900943
SH600698	SH900946
SH600221	SH900945
SH600320	SH900947
SH600190	SH900952
SH600555	SH900955
SH601038	HK00038
SZ000585	HK00042
SH601107	HK00107
SH600600	HK00168
SH600377	HK00177
SH600860	HK00187
SH600806	HK00300
SH600685	HK00317
SH600808	HK00323
SH600688	HK00338
SZ000898	HK00347
SZ000666	HK00350
SH600362	HK00358
SH600028	HK00386
SH601390	HK00390
SH601333	HK00525
SH600548	HK00548
SH600775	HK00553
SH601717	HK00564
SZ002490	HK00568
SH601588	HK00588
SH600115	HK00670
SZ000756	HK00719
SH601111	HK00753
SZ000063	HK00763
SH601857	HK00857
SH600332	HK00874
SZ002672	HK00895
SH600011	HK00902
SH600585	HK00914
SZ000921	HK00921
SH601939	HK00939
SH601991	HK00991
SH600012	HK00995
SH601998	HK00998
SH600871	HK01033
SH601005	HK01053
SH600029	HK01055
SZ002703	HK01057
SH600874	HK01065
SH600027	HK01071
SH600875	HK01072
SH601088	HK01088
SH600876	HK01108
SH600026	HK01138
SZ000157	HK01157
SH600188	HK01171
SH601186	HK01186
SZ002594	HK01211
SH601288	HK01288
SH601336	HK01336
SH601398	HK01398
SZ000513	HK01513
SH601618	HK01618
SH601766	HK01766
SH601800	HK01800
SZ000488	HK01812
SH601898	HK01898
SH601919	HK01919
SH600016	HK01988
SH601992	HK02009
SZ000039	HK02039
SH600196	HK02196
SZ000002	HK02202
SZ002202	HK02208
SH601238	HK02238
SH601318	HK02318
SH601633	HK02333
SZ000338	HK02338
SH601600	HK02600
SH601601	HK02601
SH601607	HK02607
SH601628	HK02628
SH601727	HK02727
SH601866	HK02866
SH601880	HK02880
SH601808	HK02883
SH601899	HK02899
SH601328	HK03328
SH600036	HK03968
SH601988	HK03988
SH603993	HK03993
SH600030	HK06030
SH601299	HK06199
SH601818	HK06818
SH600837	HK06837
